Country Code,Country,Year,Health Expenditure Share of ppp per capita
ALB,Albania,2000,210.603
ALB,Albania,2001,233.88
ALB,Albania,2002,239.556
ALB,Albania,2003,272.548
ALB,Albania,2004,300.791
ALB,Albania,2005,318.153
ALB,Albania,2006,335.644
ALB,Albania,2007,383.805
ALB,Albania,2008,398.307
ALB,Albania,2009,451.9
ALB,Albania,2010,544.017
ALB,Albania,2011,576.639
ALB,Albania,2012,610.691
ALB,Albania,2013,617.826
ALB,Albania,2014,662.725
ALB,Albania,2015,697.49
ALB,Albania,2016,739.469
ALB,Albania,2017,762.612
ALB,Albania,2018,821.497
ALB,Albania,2019,903.806
ALB,Albania,2020,963.791
ALB,Albania,2021,1071.999
ALB,Albania,2022,1330.516
ALB,Albania,2023,1576.789
ARG,Argentina,2011,1720.776
ARG,Argentina,2012,1823.142
ARG,Argentina,2013,1897.87
ARG,Argentina,2014,1837.484
ARG,Argentina,2015,1979.342
ARG,Argentina,2016,1956.326
ARG,Argentina,2017,2454.47
ARG,Argentina,2018,2590.859
ARG,Argentina,2019,2462.934
ARG,Argentina,2020,2478.095
ARG,Argentina,2021,3010.013
ARG,Argentina,2022,3231.027
ARG,Argentina,2023,3232.306
AUS,Australia,2000,2150.37
AUS,Australia,2001,2288.493
AUS,Australia,2002,2481.046
AUS,Australia,2003,2580.774
AUS,Australia,2004,2819.789
AUS,Australia,2005,2872.44
AUS,Australia,2006,2997.875
AUS,Australia,2007,3199.637
AUS,Australia,2008,3350.144
AUS,Australia,2009,3414.974
AUS,Australia,2010,3592.914
AUS,Australia,2011,3809.112
AUS,Australia,2012,3854.19
AUS,Australia,2013,4087.849
AUS,Australia,2014,4556.492
AUS,Australia,2015,4755.736
AUS,Australia,2016,5037.412
AUS,Australia,2017,5077.451
AUS,Australia,2018,5226.117
AUS,Australia,2019,5280.909
AUS,Australia,2020,5855.181
AUS,Australia,2021,6592.259
AUS,Australia,2022,6982.292
AUS,Australia,2023,7574.073
AUS,Australia,2024,7884.927
AUS,Australia,2025,8170.557
AUT,Austria,2000,2844.938
AUT,Austria,2001,2900.767
AUT,Austria,2002,3142.925
AUT,Austria,2003,3228.918
AUT,Austria,2004,3421.396
AUT,Austria,2005,3484.886
AUT,Austria,2006,3649.101
AUT,Austria,2007,3801.073
AUT,Austria,2008,4027.601
AUT,Austria,2009,4103.221
AUT,Austria,2010,4269.117
AUT,Austria,2011,4365.426
AUT,Austria,2012,4604.588
AUT,Austria,2013,4782.223
AUT,Austria,2014,4880.737
AUT,Austria,2015,4982.876
AUT,Austria,2016,5249.61
AUT,Austria,2017,5380.95
AUT,Austria,2018,5577.829
AUT,Austria,2019,6016.146
AUT,Austria,2020,6295.183
AUT,Austria,2021,7464.846
AUT,Austria,2022,7919.945
AUT,Austria,2023,8278.468
AUT,Austria,2024,8850.713
AUT,Austria,2025,9082.163
BEL,Belgium,2000,2298.627
BEL,Belgium,2001,2404.608
BEL,Belgium,2002,2644.145
BEL,Belgium,2003,2901.755
BEL,Belgium,2004,3085.316
BEL,Belgium,2005,3103.728
BEL,Belgium,2006,3193.348
BEL,Belgium,2007,3307.272
BEL,Belgium,2008,3545.156
BEL,Belgium,2009,3807.096
BEL,Belgium,2010,3985.947
BEL,Belgium,2011,4101.533
BEL,Belgium,2012,4292.98
BEL,Belgium,2013,4481.104
BEL,Belgium,2014,4619.893
BEL,Belgium,2015,4839.929
BEL,Belgium,2016,5036.449
BEL,Belgium,2017,5185.522
BEL,Belgium,2018,5404.639
BEL,Belgium,2019,5806.198
BEL,Belgium,2020,6091.262
BEL,Belgium,2021,6549.082
BEL,Belgium,2022,7077.542
BEL,Belgium,2023,7690.773
BEL,Belgium,2024,8096.014
BEL,Belgium,2025,8297.455
BIH,Bosnia and Herzegovina,2011,817.136
BIH,Bosnia and Herzegovina,2012,871.894
BIH,Bosnia and Herzegovina,2013,909.406
BIH,Bosnia and Herzegovina,2014,938.762
BIH,Bosnia and Herzegovina,2015,1017.408
BIH,Bosnia and Herzegovina,2016,1148.833
BIH,Bosnia and Herzegovina,2017,1146.523
BIH,Bosnia and Herzegovina,2018,1216.662
