Country,Age,Sex,Year,Life Expectancy
Argentina,0 years,Female,2000,77.3
Argentina,0 years,Female,2001,77.6
Argentina,0 years,Female,2002,77.9
Argentina,0 years,Female,2003,77.8
Argentina,0 years,Female,2004,78.2
Argentina,0 years,Female,2005,78.6
Argentina,0 years,Female,2006,78.4
Argentina,0 years,Female,2007,77.9
Argentina,0 years,Female,2008,78.6
Argentina,0 years,Female,2009,78.6
Argentina,0 years,Female,2010,78.7
Argentina,0 years,Female,2011,79.4
Argentina,0 years,Female,2012,78.7
Argentina,0 years,Female,2013,78.6
Argentina,0 years,Female,2014,79.2
Argentina,0 years,Female,2015,79.8
Argentina,0 years,Female,2016,79.1
Argentina,0 years,Female,2017,79.2
Argentina,0 years,Female,2018,79.5
Argentina,0 years,Female,2019,79.4
Argentina,0 years,Female,2020,78.8
Argentina,0 years,Female,2021,76.9
Argentina,0 years,Female,2022,78.3
Argentina,0 years,Female,2023,79.9
Argentina,0 years,Female,2024,80.0
Australia,0 years,Female,2000,82.0
Australia,0 years,Female,2001,82.4
Australia,0 years,Female,2002,82.6
Australia,0 years,Female,2003,82.8
Australia,0 years,Female,2004,83.0
Australia,0 years,Female,2005,83.3
Australia,0 years,Female,2006,83.5
Australia,0 years,Female,2007,83.7
Australia,0 years,Female,2008,83.7
Australia,0 years,Female,2009,83.9
Australia,0 years,Female,2010,84.0
Australia,0 years,Female,2011,84.2
Australia,0 years,Female,2012,84.3
Australia,0 years,Female,2013,84.3
Australia,0 years,Female,2014,84.4
Australia,0 years,Female,2015,84.5
Australia,0 years,Female,2016,84.6
Australia,0 years,Female,2017,84.6
Australia,0 years,Female,2018,84.9
Australia,0 years,Female,2019,85.0
Australia,0 years,Female,2020,85.3
Australia,0 years,Female,2021,85.4
Australia,0 years,Female,2022,85.3
Australia,0 years,Female,2023,85.1
Australia,0 years,Female,2024,85.1
Austria,0 years,Female,2000,81.2
Austria,0 years,Female,2001,81.7
Austria,0 years,Female,2002,81.7
Austria,0 years,Female,2003,81.5
Austria,0 years,Female,2004,82.1
Austria,0 years,Female,2005,82.2
Austria,0 years,Female,2006,82.8
Austria,0 years,Female,2007,83.1
Austria,0 years,Female,2008,83.3
Austria,0 years,Female,2009,83.2
Austria,0 years,Female,2010,83.5
Austria,0 years,Female,2011,83.8
Austria,0 years,Female,2012,83.6
Austria,0 years,Female,2013,83.8
Austria,0 years,Female,2014,83.7
Austria,0 years,Female,2015,83.6
Austria,0 years,Female,2016,84.0
Austria,0 years,Female,2017,83.9
Austria,0 years,Female,2018,84.0
Austria,0 years,Female,2019,84.2
Austria,0 years,Female,2020,83.7
Austria,0 years,Female,2021,83.7
Austria,0 years,Female,2022,83.8
Austria,0 years,Female,2023,84.2
Austria,0 years,Female,2024,84.3
Belgium,0 years,Female,2000,81.0
Belgium,0 years,Female,2001,81.2
Belgium,0 years,Female,2002,81.2
Belgium,0 years,Female,2003,81.1
Belgium,0 years,Female,2004,81.9
Belgium,0 years,Female,2005,81.9
Belgium,0 years,Female,2006,82.3
Belgium,0 years,Female,2007,82.6
Belgium,0 years,Female,2008,82.6
Belgium,0 years,Female,2009,82.8
Belgium,0 years,Female,2010,83.0
Belgium,0 years,Female,2011,83.3
Belgium,0 years,Female,2012,83.1
Belgium,0 years,Female,2013,83.2
Belgium,0 years,Female,2014,83.5
Belgium,0 years,Female,2015,83.2
Belgium,0 years,Female,2016,83.7
