Country,Age,Sex,Year,Life Expectancy
Argentina,0 years,Male,2000,70.5
Argentina,0 years,Male,2001,70.6
Argentina,0 years,Male,2002,70.7
Argentina,0 years,Male,2003,70.8
Argentina,0 years,Male,2004,71.5
Argentina,0 years,Male,2005,71.8
Argentina,0 years,Male,2006,72.0
Argentina,0 years,Male,2007,71.6
Argentina,0 years,Male,2008,72.2
Argentina,0 years,Male,2009,72.4
Argentina,0 years,Male,2010,72.5
Argentina,0 years,Male,2011,72.7
Argentina,0 years,Male,2012,72.9
Argentina,0 years,Male,2013,73.0
Argentina,0 years,Male,2014,73.3
Argentina,0 years,Male,2015,73.4
Argentina,0 years,Male,2016,73.0
Argentina,0 years,Male,2017,73.8
Argentina,0 years,Male,2018,74.0
Argentina,0 years,Male,2019,74.2
Argentina,0 years,Male,2020,73.0
Argentina,0 years,Male,2021,71.1
Argentina,0 years,Male,2022,73.2
Argentina,0 years,Male,2023,74.8
Argentina,0 years,Male,2024,75.0
Australia,0 years,Male,2000,76.6
Australia,0 years,Male,2001,77.0
Australia,0 years,Male,2002,77.4
Australia,0 years,Male,2003,77.8
Australia,0 years,Male,2004,78.1
Australia,0 years,Male,2005,78.5
Australia,0 years,Male,2006,78.7
Australia,0 years,Male,2007,79.0
Australia,0 years,Male,2008,79.2
Australia,0 years,Male,2009,79.3
Australia,0 years,Male,2010,79.5
Australia,0 years,Male,2011,79.7
Australia,0 years,Male,2012,79.9
Australia,0 years,Male,2013,80.1
Australia,0 years,Male,2014,80.3
Australia,0 years,Male,2015,80.4
Australia,0 years,Male,2016,80.4
Australia,0 years,Male,2017,80.5
Australia,0 years,Male,2018,80.7
Australia,0 years,Male,2019,80.9
Australia,0 years,Male,2020,81.2
Australia,0 years,Male,2021,81.3
Australia,0 years,Male,2022,81.2
Australia,0 years,Male,2023,81.1
Australia,0 years,Male,2024,81.1
Austria,0 years,Male,2000,75.2
Austria,0 years,Male,2001,75.6
Austria,0 years,Male,2002,75.8
Austria,0 years,Male,2003,75.9
Austria,0 years,Male,2004,76.4
Austria,0 years,Male,2005,76.6
Austria,0 years,Male,2006,77.1
Austria,0 years,Male,2007,77.4
Austria,0 years,Male,2008,77.7
Austria,0 years,Male,2009,77.6
Austria,0 years,Male,2010,77.8
Austria,0 years,Male,2011,78.3
Austria,0 years,Male,2012,78.4
Austria,0 years,Male,2013,78.6
Austria,0 years,Male,2014,78.9
Austria,0 years,Male,2015,78.6
Austria,0 years,Male,2016,79.1
Austria,0 years,Male,2017,79.3
Austria,0 years,Male,2018,79.3
Austria,0 years,Male,2019,79.5
Austria,0 years,Male,2020,78.9
Austria,0 years,Male,2021,78.8
Austria,0 years,Male,2022,79.0
Austria,0 years,Male,2023,79.4
Austria,0 years,Male,2024,79.8
Belgium,0 years,Male,2000,74.6
Belgium,0 years,Male,2001,74.9
Belgium,0 years,Male,2002,75.1
Belgium,0 years,Male,2003,75.3
Belgium,0 years,Male,2004,76.0
Belgium,0 years,Male,2005,76.2
Belgium,0 years,Male,2006,76.6
Belgium,0 years,Male,2007,77.1
Belgium,0 years,Male,2008,76.9
Belgium,0 years,Male,2009,77.4
Belgium,0 years,Male,2010,77.5
Belgium,0 years,Male,2011,78.0
Belgium,0 years,Male,2012,77.8
Belgium,0 years,Male,2013,78.1
Belgium,0 years,Male,2014,78.6
Belgium,0 years,Male,2015,78.6
Belgium,0 years,Male,2016,78.8
Belgium,0 years,Male,2017,79.0
Belgium,0 years,Male,2018,79.2
Belgium,0 years,Male,2019,79.6
Belgium,0 years,Male,2020,78.5
Belgium,0 years,Male,2021,79.3
Belgium,0 years,Male,2022,79.6
Belgium,0 years,Male,2023,80.2
Belgium,0 years,Male,2024,80.3
Brazil,0 years,Male,2000,66.3
Brazil,0 years,Male,2001,66.7
Brazil,0 years,Male,2002,67.1
Brazil,0 years,Male,2003,67.6
Brazil,0 years,Male,2004,68.0
Brazil,0 years,Male,2005,68.5
Brazil,0 years,Male,2006,69.0
Brazil,0 years,Male,2007,69.4
Brazil,0 years,Male,2008,69.7
Brazil,0 years,Male,2009,70.1
Brazil,0 years,Male,2010,70.4
Brazil,0 years,Male,2011,70.7
Brazil,0 years,Male,2012,70.9
Brazil,0 years,Male,2013,71.2
Brazil,0 years,Male,2014,71.5
Brazil,0 years,Male,2015,71.8
Brazil,0 years,Male,2016,71.7
Brazil,0 years,Male,2017,72.1
Brazil,0 years,Male,2018,72.4
Brazil,0 years,Male,2019,72.7
Brazil,0 years,Male,2020,71.5
Brazil,0 years,Male,2021,69.8
Brazil,0 years,Male,2022,71.7
Brazil,0 years,Male,2023,72.8
Brazil,0 years,Male,2024,73.0
Bulgaria,0 years,Male,2000,68.4
Bulgaria,0 years,Male,2001,68.6
Bulgaria,0 years,Male,2002,68.8
Bulgaria,0 years,Male,2003,68.9
Bulgaria,0 years,Male,2004,69.0
Bulgaria,0 years,Male,2005,69.0
Bulgaria,0 years,Male,2006,69.2
Bulgaria,0 years,Male,2007,69.5
Bulgaria,0 years,Male,2008,69.8
Bulgaria,0 years,Male,2009,70.2
Bulgaria,0 years,Male,2010,70.3
Bulgaria,0 years,Male,2011,70.7
Bulgaria,0 years,Male,2012,70.9
Bulgaria,0 years,Male,2013,71.3
Bulgaria,0 years,Male,2014,70.9
Bulgaria,0 years,Male,2015,71.1
Bulgaria,0 years,Male,2016,71.1
Bulgaria,0 years,Male,2017,71.1
Bulgaria,0 years,Male,2018,71.2
Bulgaria,0 years,Male,2019,71.2
Bulgaria,0 years,Male,2020,69.6
Bulgaria,0 years,Male,2021,67.7
Bulgaria,0 years,Male,2022,70.5
Bulgaria,0 years,Male,2023,71.9
Bulgaria,0 years,Male,2024,72.2
Canada,0 years,Male,2000,76.6
Canada,0 years,Male,2001,76.9
Canada,0 years,Male,2002,77.2
Canada,0 years,Male,2003,77.3
Canada,0 years,Male,2004,77.7
Canada,0 years,Male,2005,77.8
Canada,0 years,Male,2006,78.3
Canada,0 years,Male,2007,78.3
Canada,0 years,Male,2008,78.5
Canada,0 years,Male,2009,78.9
Canada,0 years,Male,2010,79.2
Canada,0 years,Male,2011,79.4
Canada,0 years,Male,2012,79.6
Canada,0 years,Male,2013,79.7
Canada,0 years,Male,2014,79.8
Canada,0 years,Male,2015,79.9
Canada,0 years,Male,2016,79.9
Canada,0 years,Male,2017,79.7
Canada,0 years,Male,2018,79.8
Canada,0 years,Male,2019,80.1
Canada,0 years,Male,2020,79.3
Canada,0 years,Male,2021,79.1
Canada,0 years,Male,2022,78.9
Canada,0 years,Male,2023,79.5
Canada,0 years,Male,2024,80.0
Chile,0 years,Male,2000,74.0
Chile,0 years,Male,2001,73.8
Chile,0 years,Male,2002,74.3
Chile,0 years,Male,2003,74.5
Chile,0 years,Male,2004,74.6
Chile,0 years,Male,2005,75.0
Chile,0 years,Male,2006,75.5
Chile,0 years,Male,2007,75.0
Chile,0 years,Male,2008,75.6
Chile,0 years,Male,2009,75.8
Chile,0 years,Male,2010,75.7
Chile,0 years,Male,2011,76.5
Chile,0 years,Male,2012,76.6
Chile,0 years,Male,2013,76.8
Chile,0 years,Male,2014,77.0
Chile,0 years,Male,2015,77.3
Chile,0 years,Male,2016,77.7
Chile,0 years,Male,2017,78.0
Chile,0 years,Male,2018,78.3
Chile,0 years,Male,2019,78.4
Chile,0 years,Male,2020,77.1
Chile,0 years,Male,2021,76.4
Chile,0 years,Male,2022,77.1
Chile,0 years,Male,2023,78.8
Chile,0 years,Male,2024,78.9
Chile,0 years,Male,2025,79.2
China (People’s Republic of),0 years,Male,2000,69.9
China (People’s Republic of),0 years,Male,2001,70.2
China (People’s Republic of),0 years,Male,2002,70.6
China (People’s Republic of),0 years,Male,2003,70.9
China (People’s Republic of),0 years,Male,2004,71.3
China (People’s Republic of),0 years,Male,2005,71.6
China (People’s Republic of),0 years,Male,2006,71.9
China (People’s Republic of),0 years,Male,2007,72.3
China (People’s Republic of),0 years,Male,2008,72.4
China (People’s Republic of),0 years,Male,2009,72.8
China (People’s Republic of),0 years,Male,2010,73.2
China (People’s Republic of),0 years,Male,2011,73.3
China (People’s Republic of),0 years,Male,2012,73.6
China (People’s Republic of),0 years,Male,2013,73.9
China (People’s Republic of),0 years,Male,2014,74.1
