Country,Age,Sex,Year,Life Expectancy
Argentina,0 years,Total,2000,73.9
Argentina,0 years,Total,2000,-6.8
Argentina,0 years,Total,2000,6.8
Argentina,0 years,Total,2001,74.2
Argentina,0 years,Total,2001,-7
Argentina,0 years,Total,2001,7
Argentina,0 years,Total,2002,74.3
Argentina,0 years,Total,2002,-7.2
Argentina,0 years,Total,2002,7.2
Argentina,0 years,Total,2003,74.3
Argentina,0 years,Total,2003,-7
Argentina,0 years,Total,2003,7
Argentina,0 years,Total,2004,74.9
Argentina,0 years,Total,2004,-6.7
Argentina,0 years,Total,2004,6.7
Argentina,0 years,Total,2005,75.2
Argentina,0 years,Total,2005,-6.9
Argentina,0 years,Total,2005,6.9
Argentina,0 years,Total,2006,75.3
Argentina,0 years,Total,2006,-6.4
Argentina,0 years,Total,2006,6.4
Argentina,0 years,Total,2007,74.8
Argentina,0 years,Total,2007,-6.4
Argentina,0 years,Total,2007,6.4
Argentina,0 years,Total,2008,75.4
Argentina,0 years,Total,2008,-6.4
Argentina,0 years,Total,2008,6.4
Argentina,0 years,Total,2009,75.6
Argentina,0 years,Total,2009,-6.1
Argentina,0 years,Total,2009,6.1
Argentina,0 years,Total,2010,75.7
Argentina,0 years,Total,2010,-6.2
Argentina,0 years,Total,2010,6.2
Argentina,0 years,Total,2011,76.1
Argentina,0 years,Total,2011,-6.7
Argentina,0 years,Total,2011,6.7
Argentina,0 years,Total,2012,75.8
Argentina,0 years,Total,2012,-5.8
Argentina,0 years,Total,2012,5.8
Argentina,0 years,Total,2013,75.8
Argentina,0 years,Total,2013,-5.7
Argentina,0 years,Total,2013,5.7
Argentina,0 years,Total,2014,76.3
Argentina,0 years,Total,2014,-5.8
Argentina,0 years,Total,2014,5.8
Argentina,0 years,Total,2015,76.6
Argentina,0 years,Total,2015,-6.4
Argentina,0 years,Total,2015,6.4
Argentina,0 years,Total,2016,76.1
Argentina,0 years,Total,2016,-6.1
Argentina,0 years,Total,2016,6.1
Argentina,0 years,Total,2017,76.5
Argentina,0 years,Total,2017,-5.4
Argentina,0 years,Total,2017,5.4
Argentina,0 years,Total,2018,76.8
Argentina,0 years,Total,2018,-5.6
Argentina,0 years,Total,2018,5.6
Argentina,0 years,Total,2019,76.8
Argentina,0 years,Total,2019,-5.3
Argentina,0 years,Total,2019,5.3
Argentina,0 years,Total,2020,75.9
Argentina,0 years,Total,2020,-5.8
Argentina,0 years,Total,2020,5.8
Argentina,0 years,Total,2021,73.9
Argentina,0 years,Total,2021,-5.7
Argentina,0 years,Total,2021,5.7
Argentina,0 years,Total,2022,75.8
Argentina,0 years,Total,2022,-5.1
Argentina,0 years,Total,2022,5.1
Argentina,0 years,Total,2023,77.4
Argentina,0 years,Total,2023,-5.1
Argentina,0 years,Total,2023,5.1
Argentina,0 years,Total,2024,77.5
Argentina,0 years,Total,2024,-5
Argentina,0 years,Total,2024,5
Australia,0 years,Total,2000,79.2
Australia,0 years,Total,2000,-5.4
Australia,0 years,Total,2000,5.4
Australia,0 years,Total,2001,79.6
Australia,0 years,Total,2001,-5.4
Australia,0 years,Total,2001,5.4
Australia,0 years,Total,2002,79.9
Australia,0 years,Total,2002,-5.2
Australia,0 years,Total,2002,5.2
Australia,0 years,Total,2003,80.2
Australia,0 years,Total,2003,-5
Australia,0 years,Total,2003,5
Australia,0 years,Total,2004,80.5
Australia,0 years,Total,2004,-4.9
Australia,0 years,Total,2004,4.9
Australia,0 years,Total,2005,80.8
Australia,0 years,Total,2005,-4.8
Australia,0 years,Total,2005,4.8
Australia,0 years,Total,2006,81
Australia,0 years,Total,2006,-4.8
Australia,0 years,Total,2006,4.8
Australia,0 years,Total,2007,81.3
Australia,0 years,Total,2007,-4.7
Australia,0 years,Total,2007,4.7
Australia,0 years,Total,2008,81.4
Australia,0 years,Total,2008,-4.5
Australia,0 years,Total,2008,4.5
Australia,0 years,Total,2009,81.5
Australia,0 years,Total,2009,-4.6
Australia,0 years,Total,2009,4.6
Australia,0 years,Total,2010,81.7
Australia,0 years,Total,2010,-4.5
Australia,0 years,Total,2010,4.5
Australia,0 years,Total,2011,81.9
Australia,0 years,Total,2011,-4.5
Australia,0 years,Total,2011,4.5
Australia,0 years,Total,2012,82
Australia,0 years,Total,2012,-4.4
Australia,0 years,Total,2012,4.4
Australia,0 years,Total,2013,82.1
Australia,0 years,Total,2013,-4.2
Australia,0 years,Total,2013,4.2
Australia,0 years,Total,2014,82.3
Australia,0 years,Total,2014,-4.1
Australia,0 years,Total,2014,4.1
Australia,0 years,Total,2015,82.4
Australia,0 years,Total,2015,-4.1
Australia,0 years,Total,2015,4.1
Australia,0 years,Total,2016,82.4
Australia,0 years,Total,2016,-4.2
Australia,0 years,Total,2016,4.2
Australia,0 years,Total,2017,82.5
Australia,0 years,Total,2017,-4.1
Australia,0 years,Total,2017,4.1
Australia,0 years,Total,2018,82.8
Australia,0 years,Total,2018,-4.2
Australia,0 years,Total,2018,4.2
Australia,0 years,Total,2019,82.9
Australia,0 years,Total,2019,-4.1
Australia,0 years,Total,2019,4.1
Australia,0 years,Total,2020,83.2
Australia,0 years,Total,2020,-4.1
Australia,0 years,Total,2020,4.1
Australia,0 years,Total,2021,83.3
Australia,0 years,Total,2021,-4.1
Australia,0 years,Total,2021,4.1
Australia,0 years,Total,2022,83.2
Australia,0 years,Total,2022,-4.1
Australia,0 years,Total,2022,4.1
Australia,0 years,Total,2023,83
Australia,0 years,Total,2023,-4
Australia,0 years,Total,2023,4
Australia,0 years,Total,2024,83
Australia,0 years,Total,2024,-4
Australia,0 years,Total,2024,4
Austria,0 years,Total,2000,78.3
Austria,0 years,Total,2000,-6
Austria,0 years,Total,2000,6
Austria,0 years,Total,2001,78.8
Austria,0 years,Total,2001,-6.1
Austria,0 years,Total,2001,6.1
Austria,0 years,Total,2002,78.9
Austria,0 years,Total,2002,-5.9
Austria,0 years,Total,2002,5.9
Austria,0 years,Total,2003,78.8
Austria,0 years,Total,2003,-5.6
Austria,0 years,Total,2003,5.6
Austria,0 years,Total,2004,79.3
Austria,0 years,Total,2004,-5.7
Austria,0 years,Total,2004,5.7
Austria,0 years,Total,2005,79.5
Austria,0 years,Total,2005,-5.6
Austria,0 years,Total,2005,5.6
Austria,0 years,Total,2006,80.1
Austria,0 years,Total,2006,-5.7
Austria,0 years,Total,2006,5.7
Austria,0 years,Total,2007,80.3
Austria,0 years,Total,2007,-5.7
Austria,0 years,Total,2007,5.7
Austria,0 years,Total,2008,80.6
Austria,0 years,Total,2008,-5.6
Austria,0 years,Total,2008,5.6
Austria,0 years,Total,2009,80.5
Austria,0 years,Total,2009,-5.6
Austria,0 years,Total,2009,5.6
Austria,0 years,Total,2010,80.7
Austria,0 years,Total,2010,-5.7
Austria,0 years,Total,2010,5.7
Austria,0 years,Total,2011,81.1
Austria,0 years,Total,2011,-5.5
Austria,0 years,Total,2011,5.5
Austria,0 years,Total,2012,81.1
Austria,0 years,Total,2012,-5.2
Austria,0 years,Total,2012,5.2
Austria,0 years,Total,2013,81.3
Austria,0 years,Total,2013,-5.2
Austria,0 years,Total,2013,5.2
Austria,0 years,Total,2014,81.4
Austria,0 years,Total,2014,-4.8
Austria,0 years,Total,2014,4.8
Austria,0 years,Total,2015,81.2
Austria,0 years,Total,2015,-5
Austria,0 years,Total,2015,5
Austria,0 years,Total,2016,81.6
Austria,0 years,Total,2016,-4.9
Austria,0 years,Total,2016,4.9
Austria,0 years,Total,2017,81.6
Austria,0 years,Total,2017,-4.6
Austria,0 years,Total,2017,4.6
Austria,0 years,Total,2018,81.7
Austria,0 years,Total,2018,-4.7
Austria,0 years,Total,2018,4.7
Austria,0 years,Total,2019,81.9
Austria,0 years,Total,2019,-4.7
Austria,0 years,Total,2019,4.7
Austria,0 years,Total,2020,81.3
Austria,0 years,Total,2020,-4.8
Austria,0 years,Total,2020,4.8
Austria,0 years,Total,2021,81.3
Austria,0 years,Total,2021,-4.9
Austria,0 years,Total,2021,4.9
Austria,0 years,Total,2022,81.4
Austria,0 years,Total,2022,-4.8
Austria,0 years,Total,2022,4.8
Austria,0 years,Total,2023,81.9
Austria,0 years,Total,2023,-4.8
Austria,0 years,Total,2023,4.8
Austria,0 years,Total,2024,82.1
Austria,0 years,Total,2024,-4.5
Austria,0 years,Total,2024,4.5
Belgium,0 years,Total,2000,77.9
Belgium,0 years,Total,2000,-6.4
Belgium,0 years,Total,2000,6.4
Belgium,0 years,Total,2001,78.1
Belgium,0 years,Total,2001,-6.3
Belgium,0 years,Total,2001,6.3
Belgium,0 years,Total,2002,78.2
Belgium,0 years,Total,2002,-6.1
Belgium,0 years,Total,2002,6.1
Belgium,0 years,Total,2003,78.3
Belgium,0 years,Total,2003,-5.8
Belgium,0 years,Total,2003,5.8
Belgium,0 years,Total,2004,79
Belgium,0 years,Total,2004,-5.9
Belgium,0 years,Total,2004,5.9
Belgium,0 years,Total,2005,79.1
Belgium,0 years,Total,2005,-5.7
Belgium,0 years,Total,2005,5.7
Belgium,0 years,Total,2006,79.5
Belgium,0 years,Total,2006,-5.7
Belgium,0 years,Total,2006,5.7
Belgium,0 years,Total,2007,79.9
Belgium,0 years,Total,2007,-5.5
Belgium,0 years,Total,2007,5.5
Belgium,0 years,Total,2008,79.8
Belgium,0 years,Total,2008,-5.7
Belgium,0 years,Total,2008,5.7
Belgium,0 years,Total,2009,80.2
Belgium,0 years,Total,2009,-5.4
Belgium,0 years,Total,2009,5.4
Belgium,0 years,Total,2010,80.3
Belgium,0 years,Total,2010,-5.5
Belgium,0 years,Total,2010,5.5
Belgium,0 years,Total,2011,80.7
Belgium,0 years,Total,2011,-5.3
Belgium,0 years,Total,2011,5.3
Belgium,0 years,Total,2012,80.5
Belgium,0 years,Total,2012,-5.3
Belgium,0 years,Total,2012,5.3
Belgium,0 years,Total,2013,80.7
Belgium,0 years,Total,2013,-5.1
Belgium,0 years,Total,2013,5.1
Belgium,0 years,Total,2014,81.1
Belgium,0 years,Total,2014,-4.9
Belgium,0 years,Total,2014,4.9
Belgium,0 years,Total,2015,80.9
Belgium,0 years,Total,2015,-4.6
Belgium,0 years,Total,2015,4.6
Belgium,0 years,Total,2016,81.3
Belgium,0 years,Total,2016,-4.9
Belgium,0 years,Total,2016,4.9
Belgium,0 years,Total,2017,81.4
Belgium,0 years,Total,2017,-4.7
Belgium,0 years,Total,2017,4.7
Belgium,0 years,Total,2018,81.5
Belgium,0 years,Total,2018,-4.5
Belgium,0 years,Total,2018,4.5
Belgium,0 years,Total,2019,81.8
Belgium,0 years,Total,2019,-4.4
Belgium,0 years,Total,2019,4.4
Belgium,0 years,Total,2020,80.8
Belgium,0 years,Total,2020,-4.6
Belgium,0 years,Total,2020,4.6
Belgium,0 years,Total,2021,81.7
Belgium,0 years,Total,2021,-4.8
Belgium,0 years,Total,2021,4.8
Belgium,0 years,Total,2022,81.7
Belgium,0 years,Total,2022,-4.2
Belgium,0 years,Total,2022,4.2
Belgium,0 years,Total,2023,82.3
Belgium,0 years,Total,2023,-4.1
Belgium,0 years,Total,2023,4.1
Belgium,0 years,Total,2024,82.4
Belgium,0 years,Total,2024,-4.1
Belgium,0 years,Total,2024,4.1
