Entity,Code,Year,Public health expenditure as a share of GDP
Albania,ALB,2000,2.712
Albania,ALB,2001,2.709
Albania,ALB,2002,2.525
Albania,ALB,2003,2.59
Albania,ALB,2004,2.75
Albania,ALB,2005,2.634
Albania,ALB,2006,2.6
Albania,ALB,2007,2.72
Albania,ALB,2008,2.28
Albania,ALB,2009,2.385
Albania,ALB,2010,2.407
Albania,ALB,2011,2.435
Albania,ALB,2012,2.554
Albania,ALB,2013,2.612
Albania,ALB,2014,2.597
Albania,ALB,2015,2.716
Albania,ALB,2016,2.874
Albania,ALB,2017,2.744
Albania,ALB,2018,2.845
Albania,ALB,2019,2.939
Albania,ALB,2020,3.015
Albania,ALB,2021,2.935
Albania,ALB,2022,3.773
Albania,ALB,2023,3.558
Argentina,ARG,1880,0
Argentina,ARG,1890,0
Argentina,ARG,1900,0
Argentina,ARG,1910,0
Argentina,ARG,1920,0
Argentina,ARG,1930,0
Argentina,ARG,2000,4.499
Argentina,ARG,2001,4.492
Argentina,ARG,2002,3.951
Argentina,ARG,2003,3.784
Argentina,ARG,2004,3.861
Argentina,ARG,2005,4.016
Argentina,ARG,2006,4.066
Argentina,ARG,2007,4.262
Argentina,ARG,2008,4.545
Argentina,ARG,2009,5.763
Argentina,ARG,2010,5.589
Argentina,ARG,2011,5.758
Argentina,ARG,2012,6.179
Argentina,ARG,2013,6.338
Argentina,ARG,2014,6.44
Argentina,ARG,2015,6.832
Argentina,ARG,2016,6.605
Argentina,ARG,2017,6.74
Argentina,ARG,2018,6.151
Argentina,ARG,2019,6.245
Argentina,ARG,2020,7.078
Argentina,ARG,2021,6.522
Argentina,ARG,2022,6.097
Argentina,ARG,2023,6.257
Australia,AUS,1880,0
Australia,AUS,1890,0
Australia,AUS,1900,0
Australia,AUS,1910,0.38
Australia,AUS,1920,0.57
Australia,AUS,1930,0.44
Australia,AUS,1960,1.9166641
Australia,AUS,1961,2.0898583
Australia,AUS,1962,2.234297
Australia,AUS,1963,2.1419902
Australia,AUS,1964,2.148519
Australia,AUS,1965,2.2249215
Australia,AUS,1966,2.1785562
Australia,AUS,1967,2.0184858
Australia,AUS,1968,2.1883707
Australia,AUS,1969,2.3028467
Australia,AUS,1970,2.6178968
Australia,AUS,1971,2.781
Australia,AUS,1972,2.758
Australia,AUS,1973,2.735
Australia,AUS,1974,3.117
Australia,AUS,1975,4.194
Australia,AUS,1976,3.82
Australia,AUS,1977,3.682
Australia,AUS,1978,3.675
Australia,AUS,1979,3.581
Australia,AUS,1980,3.657
Australia,AUS,1981,3.568
Australia,AUS,1982,3.589
Australia,AUS,1983,3.796
Australia,AUS,1984,4.291
Australia,AUS,1985,4.33
Australia,AUS,1986,4.394
Australia,AUS,1987,4.268
Australia,AUS,1988,4.123
Australia,AUS,1989,4.111
Australia,AUS,1990,4.275
Australia,AUS,1991,4.459
Australia,AUS,1992,4.489
Australia,AUS,1993,4.488
Australia,AUS,1994,4.496
Australia,AUS,1995,4.583
Australia,AUS,1996,4.637
Australia,AUS,1997,4.754
Australia,AUS,1998,4.888
Australia,AUS,1999,5.089
Australia,AUS,2000,5.179
Australia,AUS,2001,5.191
Australia,AUS,2002,5.393
Australia,AUS,2003,5.351
Australia,AUS,2004,5.515
Australia,AUS,2005,5.439
Australia,AUS,2006,5.435
Australia,AUS,2007,5.568
Australia,AUS,2008,5.672
Australia,AUS,2009,5.901
Australia,AUS,2010,5.761
Australia,AUS,2011,5.887
Australia,AUS,2012,5.831
Australia,AUS,2013,5.658
Australia,AUS,2014,6.613
Australia,AUS,2015,6.948
Australia,AUS,2016,6.944
Australia,AUS,2017,6.979
Australia,AUS,2018,6.968
Australia,AUS,2019,7.322
Australia,AUS,2020,7.65
Australia,AUS,2021,7.754
Australia,AUS,2022,7.179
Australia,AUS,2023,7.507
Australia,AUS,2024,7.882
Australia,AUS,2025,8.15
Austria,AUT,1880,0
Austria,AUT,1890,0
Austria,AUT,1900,0
Austria,AUT,1910,0
Austria,AUT,1920,0
Austria,AUT,1930,0
Austria,AUT,1960,2.6429722
Austria,AUT,1961,2.667932
Austria,AUT,1962,2.7112975
Austria,AUT,1963,2.7858238
Austria,AUT,1964,2.7342644
Austria,AUT,1965,2.8469203
Austria,AUT,1966,2.885803
Austria,AUT,1967,3.1053548
Austria,AUT,1968,3.0026376
Austria,AUT,1969,3.1870866
Austria,AUT,1970,2.955
Austria,AUT,1971,2.933
Austria,AUT,1972,2.921
Austria,AUT,1973,2.981
Austria,AUT,1974,3.233
Austria,AUT,1975,4.431
Austria,AUT,1976,4.604
Austria,AUT,1977,4.586
Austria,AUT,1978,4.745
Austria,AUT,1979,4.628
Austria,AUT,1980,4.739
Austria,AUT,1981,4.482
Austria,AUT,1982,4.444
Austria,AUT,1983,4.356
Austria,AUT,1984,4.361
Austria,AUT,1985,4.499
Austria,AUT,1986,4.583
Austria,AUT,1987,4.798
Austria,AUT,1988,4.762
Austria,AUT,1989,4.733
Austria,AUT,1990,5.763
Austria,AUT,1991,5.814
Austria,AUT,1992,6.072
Austria,AUT,1993,6.492
Austria,AUT,1994,6.855
Austria,AUT,1995,6.84
Austria,AUT,1996,6.812
Austria,AUT,1997,6.827
Austria,AUT,1998,6.948
Austria,AUT,1999,7.076
Austria,AUT,2000,6.994
Austria,AUT,2001,6.986
Austria,AUT,2002,7.086
Austria,AUT,2003,7.149
Austria,AUT,2004,7.189
Austria,AUT,2005,7.18
Austria,AUT,2006,7.161
Austria,AUT,2007,7.139
Austria,AUT,2008,7.353
Austria,AUT,2009,7.74
Austria,AUT,2010,7.682
Austria,AUT,2011,7.539
Austria,AUT,2012,7.676
Austria,AUT,2013,7.684
Austria,AUT,2014,7.755
Austria,AUT,2015,7.741
Austria,AUT,2016,7.715
Austria,AUT,2017,7.738
Austria,AUT,2018,7.776
Austria,AUT,2019,7.906
Austria,AUT,2020,8.72
Austria,AUT,2021,9.473
Austria,AUT,2022,8.639
Austria,AUT,2023,8.512
Austria,AUT,2024,8.863
Austria,AUT,2025,9.018
Belgium,BEL,1880,0.06
Belgium,BEL,1890,0.11
Belgium,BEL,1900,0.12
Belgium,BEL,1910,0.18
Belgium,BEL,1920,0.21
Belgium,BEL,1930,0.09
Belgium,BEL,1992,5.665
Belgium,BEL,1993,5.701
Belgium,BEL,1994,5.502
Belgium,BEL,1995,5.774
Belgium,BEL,1996,6.109
Belgium,BEL,1997,5.785
Belgium,BEL,1998,5.833
Belgium,BEL,1999,5.938
Belgium,BEL,2000,5.968
Belgium,BEL,2001,6.146
Belgium,BEL,2002,6.139
Belgium,BEL,2003,6.783
Belgium,BEL,2004,6.986
Belgium,BEL,2005,6.889
Belgium,BEL,2006,6.801
Belgium,BEL,2007,6.769
Belgium,BEL,2008,7.261
Belgium,BEL,2009,7.838
Belgium,BEL,2010,7.768
Belgium,BEL,2011,7.826
Belgium,BEL,2012,7.986
Belgium,BEL,2013,7.992
Belgium,BEL,2014,8.028
Belgium,BEL,2015,8.259
Belgium,BEL,2016,8.299
Belgium,BEL,2017,8.303
Belgium,BEL,2018,8.317
Belgium,BEL,2019,8.07
Belgium,BEL,2020,8.713
Belgium,BEL,2021,8.48
Belgium,BEL,2022,7.992
Belgium,BEL,2023,7.885
Belgium,BEL,2024,8.128
Belgium,BEL,2025,8.22
Bosnia and Herzegovina,BIH,2000,4.076
Bosnia and Herzegovina,BIH,2001,4.33
Bosnia and Herzegovina,BIH,2002,4.422
Bosnia and Herzegovina,BIH,2003,5.479
Bosnia and Herzegovina,BIH,2004,5.162
Bosnia and Herzegovina,BIH,2005,4.814
Bosnia and Herzegovina,BIH,2006,4.864
Bosnia and Herzegovina,BIH,2007,5.124
Bosnia and Herzegovina,BIH,2008,5.306
Bosnia and Herzegovina,BIH,2009,6.167
